"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "JavaScript", "JSON", "CSS", "XML", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-message-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 15, 124
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-client-skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 3, 35
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 10, 73
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-client2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 79, 0, 2, 7, 88
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-events.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 6, 40
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-header2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 6, 46
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 71
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar3.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 10, 9, 71
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\dashboard-skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 22, 2, 37
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 6, 64
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-event-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 218, 0, 157, 30, 405
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-event-skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-event.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-main-post.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 16, 159
