"filename", "language", "JSON", "TypeScript", "YAML", "JavaScript", "JSON with Comments", "MS SQL", "XML", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\meta\0015_snapshot.json", "JSON", 1423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1423
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\meta\0016_snapshot.json", "JSON", 1552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1552
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\meta\0017_snapshot.json", "JSON", 1589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1589
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\meta\_journal.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\admin\Desktop\Next-js\agenda\emails\actions.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\admin\Desktop\Next-js\agenda\lib\dal.ts", "TypeScript", 0, -9, 0, 0, 0, 0, 0, 0, 0, -5, -5, -19
"c:\Users\admin\Desktop\Next-js\agenda\lib\errors\codes.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 8, 31, 113
"c:\Users\admin\Desktop\Next-js\agenda\lib\errors\factories.ts", "TypeScript", 0, 167, 0, 0, 0, 0, 0, 0, 0, 4, 44, 215
"c:\Users\admin\Desktop\Next-js\agenda\lib\errors\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\Desktop\Next-js\agenda\lib\errors\result.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 21, 44, 138
"c:\Users\admin\Desktop\Next-js\agenda\lib\errors\sanitization\sanitizer.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 15, 49
"c:\Users\admin\Desktop\Next-js\agenda\lib\errors\types.ts", "TypeScript", 0, 167, 0, 0, 0, 0, 0, 0, 0, 9, 36, 212
"c:\Users\admin\Desktop\Next-js\agenda\lib\r2-client.ts", "TypeScript", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, -4, -21
"c:\Users\admin\Desktop\Next-js\agenda\lib\secrets.ts", "TypeScript", 0, -320, 0, 0, 0, 0, 0, 0, 0, 0, -2, -322
"c:\Users\admin\Desktop\Next-js\agenda\lib\session.ts", "TypeScript", 0, -8, 0, 0, 0, 0, 0, 0, 0, -1, -6, -15
"c:\Users\admin\Desktop\Next-js\agenda\lib\storage-client.ts", "TypeScript", 0, -175, 0, 0, 0, 0, 0, 0, 0, -17, -27, -219
"c:\Users\admin\Desktop\Next-js\agenda\lib\storage-server.ts", "TypeScript", 0, -48, 0, 0, 0, 0, 0, 0, 0, 0, -13, -61
"c:\Users\admin\Desktop\Next-js\agenda\lib\utils.ts", "TypeScript", 0, -51, 0, 0, 0, 0, 0, 0, 0, 40, 11, 0
"c:\Users\admin\Desktop\Next-js\agenda\lib\validation.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, -1, 1, 25
"c:\Users\admin\Desktop\Next-js\agenda\middleware.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\admin\Desktop\Next-js\agenda\next.config.mjs", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\admin\Desktop\Next-js\agenda\package.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\admin\Desktop\Next-js\agenda\pnpm-lock.yaml", "YAML", 0, 0, 421, 0, 0, 0, 0, 0, 0, 0, 112, 533
"c:\Users\admin\Desktop\Next-js\agenda\public\sitemap-0.xml", "XML", 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -6
"c:\Users\admin\Desktop\Next-js\agenda\r2-worker\src\index.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 2, 6, 34
"c:\Users\admin\Desktop\Next-js\agenda\r2-worker\wrangler.jsonc", "JSON with Comments", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2-instance.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\client\config.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 6, 22
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\client\handlers\upload.ts", "TypeScript", 0, 256, 0, 0, 0, 0, 0, 0, 0, 55, 50, 361
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\client\logic.ts", "TypeScript", 0, 249, 0, 0, 0, 0, 0, 0, 0, 148, 102, 499
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\client\s3\logic.ts", "TypeScript", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 11, 146
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\client\types.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 2, 13, 63
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\client\worker\logic.ts", "TypeScript", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 19, 271
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\server\config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\server\handlers\delete.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 6, 43
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\server\handlers\upload.ts", "TypeScript", 0, 239, 0, 0, 0, 0, 0, 0, 0, 59, 46, 344
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\server\logic.ts", "TypeScript", 0, 175, 0, 0, 0, 0, 0, 0, 0, 76, 58, 309
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\server\s3\config.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\server\s3\logic.ts", "TypeScript", 0, 189, 0, 0, 0, 0, 0, 0, 0, 1, 20, 210
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\server\s3\types.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\server\types.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\server\worker\config.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\server\worker\logic.ts", "TypeScript", 0, 165, 0, 0, 0, 0, 0, 0, 0, 15, 24, 204
"c:\Users\admin\Desktop\Next-js\agenda\storage\r2\server\worker\types.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\admin\Desktop\Next-js\agenda\types\general.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\admin\Desktop\Next-js\agenda\types\storage.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"Total", "-", 4589, -2583, 421, 4, 3, 31, -6, 0, -4847, -703, -1268, -4359
