"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "Markdown", "JavaScript JSX", "YAML", "TypeScript JSX", "MS SQL", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\playground\parallel-transport\components\first-simulation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 547, 0, 0, 0, 69, 89, 705
"c:\Users\admin\Desktop\Next-js\agenda\app\playground\parallel-transport\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 5, 15
"c:\Users\admin\Desktop\Next-js\agenda\app\register\actions\actions.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 13, 22, 152
"c:\Users\admin\Desktop\Next-js\agenda\app\register\actions\validation.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\admin\Desktop\Next-js\agenda\app\register\components\register-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 7, 46
"c:\Users\admin\Desktop\Next-js\agenda\app\register\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"c:\Users\admin\Desktop\Next-js\agenda\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 6, 6, 116
"c:\Users\admin\Desktop\Next-js\agenda\app\services\main-posts\services.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\services\main-posts\validation.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\admin\Desktop\Next-js\agenda\app\services\subjects-services.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\services\user-services.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 49
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\error-popup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 13, 22, 153
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\file-uploader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 5, 16, 188
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\footer\footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 5, 23
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\subject-tag.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 5, 2, 17
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\subject-tag2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 17
"c:\Users\admin\Desktop\Next-js\agenda\app\unauthorized.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\send\actions\actions.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 37
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\send\components\send-email-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 11, 57
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\send\components\send-email-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 2, 9, 43
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\send\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 15, 75
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\verify\actions\actions.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 54
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\verify\components\verify-email-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 8, 44
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\verify\components\verify-email-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 2, 8, 43
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\verify\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 1, 9, 65
"c:\Users\admin\Desktop\Next-js\agenda\auth\dal.ts", "TypeScript", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37, 162
"c:\Users\admin\Desktop\Next-js\agenda\auth\logic.ts", "TypeScript", 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 12, 27, 275
"c:\Users\admin\Desktop\Next-js\agenda\db\db.server.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\admin\Desktop\Next-js\agenda\db\logic.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Users\admin\Desktop\Next-js\agenda\db\main-posts\main-posts.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 125
"c:\Users\admin\Desktop\Next-js\agenda\db\main-posts\types.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\admin\Desktop\Next-js\agenda\db\primitive-subjects.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 75
"c:\Users\admin\Desktop\Next-js\agenda\db\primitive-users.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 62
"c:\Users\admin\Desktop\Next-js\agenda\db\schema.ts", "TypeScript", 0, 0, 286, 0, 0, 0, 0, 0, 0, 0, 0, 12, 31, 329
"c:\Users\admin\Desktop\Next-js\agenda\db\seed.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 39
"c:\Users\admin\Desktop\Next-js\agenda\db\subjects.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 72
"c:\Users\admin\Desktop\Next-js\agenda\db\users.ts", "TypeScript", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 89
"c:\Users\admin\Desktop\Next-js\agenda\db\verification-tokens.ts", "TypeScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 93
"c:\Users\admin\Desktop\Next-js\agenda\drizzle.config.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0000_dear_zarek.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 11, 0, 161
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0001_public_doctor_spectrum.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0002_glorious_rogue.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 2, 0, 42
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0003_acoustic_triton.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 90, 6, 114
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0004_violet_exiles.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 18
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0005_lovely_vance_astro.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0006_simple_daimon_hellstrom.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0007_famous_cable.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0008_absent_titanium_man.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0009_shocking_khan.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0010_powerful_blockbuster.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0011_lyrical_phalanx.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0012_yielding_blacklash.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 0, 18
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0013_redundant_xavin.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0014_striped_hercules.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0015_fuzzy_cassandra_nova.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0016_complex_maverick.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 0, 21
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0017_unknown_blackheart.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\meta\0000_snapshot.json", "JSON", 0, 1261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1261
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\meta\0001_snapshot.json", "JSON", 0, 1254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1254
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\meta\0002_snapshot.json", "JSON", 0, 1418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1418
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\meta\0003_snapshot.json", "JSON", 0, 1435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1435
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\meta\0004_snapshot.json", "JSON", 0, 1365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1365
