"filename", "language", "JSON", "TypeScript", "JSON with Comments", "YAML", "JavaScript", "TypeScript JSX", "MS SQL", "PostCSS", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\register\actions\actions.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 13, 15, 77
"c:\Users\admin\Desktop\Next-js\agenda\app\register\actions\validation.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\admin\Desktop\Next-js\agenda\app\register\components\register-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 6, 49
"c:\Users\admin\Desktop\Next-js\agenda\app\register\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 4, 44
"c:\Users\admin\Desktop\Next-js\agenda\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -40, 0, 0, 4, -11, -47
"c:\Users\admin\Desktop\Next-js\agenda\app\reset-password\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\admin\Desktop\Next-js\agenda\app\reset-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -27, 0, 0, 1, -1, -27
"c:\Users\admin\Desktop\Next-js\agenda\app\services\auth\services.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\admin\Desktop\Next-js\agenda\app\services\auth\validation.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\admin\Desktop\Next-js\agenda\app\services\emails\services.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\services\events\services.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 11, 62
"c:\Users\admin\Desktop\Next-js\agenda\app\services\events\validation.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 9, 43
"c:\Users\admin\Desktop\Next-js\agenda\app\services\initial-setup\services.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 7, 38, 115
"c:\Users\admin\Desktop\Next-js\agenda\app\services\main-posts\services.ts", "TypeScript", 0, 420, 0, 0, 0, 0, 0, 0, 29, 67, 516
"c:\Users\admin\Desktop\Next-js\agenda\app\services\main-posts\validation.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\admin\Desktop\Next-js\agenda\app\services\primitive-subjects\services.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\admin\Desktop\Next-js\agenda\app\services\primitive-subjects\validation.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 11, 74
"c:\Users\admin\Desktop\Next-js\agenda\app\services\subjects-services.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\admin\Desktop\Next-js\agenda\app\services\user-services.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\admin\Desktop\Next-js\agenda\app\services\verification-tokens\services.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -8, 0, 0, 0, -1, -9
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-button2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -8, 0, 0, 0, -1, -9
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-form2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -234, 0, 0, 0, -28, -262
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-file-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-folder-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-main-post-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -294, 0, 0, -2, -31, -327
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-message-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-weekly-challenge-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\breadcrumb\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 2, 11, 70
