"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "XML", "JavaScript JSX", "YAML", "JavaScript", "TypeScript JSX", "MS SQL", "PostCSS", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\weekly-challenges\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\weekly-challenges\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 5, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, 291, 50, 557
"c:\Users\admin\Desktop\Next-js\agenda\app\icons\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\subjects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\actions\actions.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 40
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\actions\validation.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\components\initial-setup-user-info-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 10, 54
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\components\initial-setup-user-info-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 5, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\components\welcome-overlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 2, 6, 48
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 5, 74
"c:\Users\admin\Desktop\Next-js\agenda\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 1, 12, 133
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\events\actions.ts", "TypeScript", 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 171
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\events\validation.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 43
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\history\actions.ts", "TypeScript", 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33, 210
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\history\validation.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\main-data\actions.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\main-posts\actions.ts", "TypeScript", 0, 365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 223, 104, 692
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\main-posts\validation.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\messages\actions.ts", "TypeScript", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 154
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\primitive-subjects\actions.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 78
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\primitive-subjects\validation.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 74
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\ranking\actions.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 103
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\ranking\validation.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\session\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 334, 120, 454
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\session\validation.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\subjects\actions.ts", "TypeScript", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37, 188
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\user\actions.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 53
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\users\actions.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\weekly-challenge-answers\actions.ts", "TypeScript", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 119
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions\weekly-challenges\actions.ts", "TypeScript", 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 206
